AirportCode,AirportName,City,AdministrativeDivision,Country
MOJ,Moengo Airstrip,Moengo,,Suriname
ICK,Nieuw Nickerie Airport,Nieuw Nickerie,,Suriname
OEM,Vincent Fayks Airport,Paloemeu,,Suriname
SMZ,Stoelmanseiland Airport,Stoelmans Eiland,,Suriname
TOT,Totness Airport,Totness,,Suriname
AGI,Wageningen Airstrip,Wageningen,,Suriname
ORJ,Orinduik Airport,Orinduik,,Guyana
NAI,Annai Airport,Annai,,Guyana
IMB,Imbaimadai Airport,Imbaimadai,,Guyana
KAR,Kamarang Airport,Kamarang,,Guyana
USI,Mabaruma Airport,Mabaruma,,Guyana
MHA,Mahdia Airport,Mahdia,,Guyana
PJC,Dr Augusto Roberto Fuster International Airport,Pedro Juan Caballero,,Paraguay
ACD,Alcides Fernández Airport,Acandi,,Colombia
RVE,Los Colonizadores Airport,Saravena,,Colombia
BQJ,Batagay Airport,Batagay,,Russia
VGZ,Villa Garzón Airport,Villa Garzon,,Colombia
EBG,El Bagre Airport,El Bagre,,Colombia
CAQ,Juan H White Airport,Caucasia,,Colombia
COG,Mandinga Airport,Condoto,,Colombia
TLU,Golfo de Morrosquillo Airport,Tolu,,Colombia
CFB,Cabo Frio Airport,Cabo Frio,,Brazil
OPS,Presidente João Batista Figueiredo Airport,Sinop,,Brazil
GRP,Gurupi Airport,Gurupi,Goias,Brazil
CMP,Santana do Araguaia Airport,Santana do Araguaia,,Brazil
BVS,Breves Airport,Breves,,Brazil
SFK,Soure Airport,Soure,Pa,Brazil
PIN,Parintins Airport,Parintins,,Brazil
BRA,Barreiras Airport,Barreiras,,Brazil
STZ,Santa Terezinha Airport,Santa Terezinha,,Brazil
MQH,Minaçu Airport,Minacu,Go,Brazil
AUX,Araguaína Airport,Araguaina,,Brazil
NVP,Novo Aripuanã Airport,Novo Aripuana,,Brazil
FRC,Tenente Lund Pressoto Airport,Franca,,Brazil
DOU,Dourados Airport,Dourados,,Brazil
LBR,Lábrea Airport,Labrea,,Brazil
ROO,Maestro Marinho Franco Airport,Rondonopolis,,Brazil
GPB,Tancredo Thomas de Faria Airport,Guarapuava,,Brazil
JCB,Santa Terezinha Airport,Joacaba,,Brazil
RVD,General Leite de Castro Airport,Rio Verde,Go,Brazil
AAX,Romeu Zema Airport,Araxa,,Brazil
MBZ,Maués Airport,Maues,,Brazil
RBB,Borba Airport,Borba,,Brazil
CIZ,Coari Airport,Coari,,Brazil
BAZ,Barcelos Airport,Barcelos,,Brazil
DMT,Diamantino Airport,Diamantino,,Brazil
GNM,Guanambi Airport,Guanambi,,Brazil
QDJ,Tsletsi Airport,Djelfa,,Algeria
NZA,Nzagi Airport,Nzagi,,Angola
LBZ,Lucapa Airport,Lucapa,,Angola
KNP,Capanda Airport,Kapanda,,Angola
AMC,Am Timan Airport,Am Timan,,Chad
GSQ,Shark El Oweinat International Airport,Sharq Al-Owainat,,Egypt
MRB,Eastern WV Regional Airport/Shepherd Field,Martinsburg,West Virginia,United States
AWA,Awassa Airport,Awasa,,Ethiopia
JIJ,Wilwal International Airport,Jijiga,,Ethiopia
MKS,Mekane Selam Airport,Mekane Selam,,Ethiopia
DBM,Debra Marcos Airport,Debre Marqos,,Ethiopia
DBT,Debre Tabor Airport,Debre Tabor,,Ethiopia
QHR,Harar Meda Airport,Debre Zeyit,,Ethiopia
GOB,Robe Airport,Goba,,Ethiopia
MYB,Mayumba Airport,Mayumba,,Gabon
MRE,Mara Serena Lodge Airstrip,Masai Mara,,Kenya
JJM,Mulika Lodge Airport,Meru National Park,,Kenya
RBX,Rumbek Airport,Rumbek,,Sudan
CPA,Cape Palmas Airport,Greenville,,Liberia
IHC,Inhaca Airport,Inhaca,,Mozambique
MAX,Ouro Sogui Airport,Matam,,Senegal
BDI,Bird Island Airport,Bird Island,,Seychelles
WHF,Wadi Halfa Airport,Wadi Halfa,,Sudan
NBE,Enfidha - Hammamet International Airport,Enfidha,,Tunisia
HTY,Hatay Airport,Hatay,,Turkey
RVV,Raivavae Airport,Raivavae,,French Polynesia
FUO,Foshan Shadi Airport,Foshan,,China
HUZ,Huizhou Airport,Huizhou,,China
ILD,Lleida-Alguaire Airport,Lleida,,Spain
BIU,Bildudalur Airport,Bildudalur,,Iceland
GJR,Gjögur Airport,Gjogur,,Iceland
SAK,Sauðárkrókur Airport,Saudarkrokur,,Iceland
IIA,Inishmaan Aerodrome,Inishmaan,,Ireland
ULG,Ulgii Mongolei Airport,Olgii,,Mongolia
KQT,Qurghonteppa International Airport,Kurgan Tyube,,Tajikistan
VGD,Vologda Airport,Vologda,,Russia
ONK,Olenyok Airport,Olenyok,,Russia
SYS,Saskylakh Airport,Saskylakh,,Russia
LDG,Leshukonskoye Airport,Arkhangelsk,,Russia
HSK,Huesca/Pirineos Airport,Huesca,,Spain
CQM,Ciudad Real Central Airport,Ciudad Real,,Spain
NJF,Al Najaf International Airport,Najaf,,Iraq
CSA,Colonsay Airstrip,Colonsay,Hebrides Is.,United Kingdom
RKH,Rock Hill - York County Airport,Rock Hill,South Carolina,United States
AGC,Allegheny County Airport,Pittsburgh,Pennsylvania,United States
VQQ,Cecil Airport,Jacksonville,,United States
FTY,Fulton County Airport Brown Field,Atlanta,Georgia,United States
TII,Tarin Kowt Airport,Tarin Kowt,,Afghanistan
ZAJ,Zaranj Airport,Zaranj,,Afghanistan
CCN,Chakcharan Airport,Chaghcharan,,Afghanistan
FUG,Fuyang Xiguan Airport,Fuyang,,China
LCX,Longyan Guanzhishan Airport,Longyan,,China
BSD,Baoshan Yunduan Airport,Baoshan,,China
ACX,Xingyi Airport,Xingyi,,China
HZH,Liping Airport,Liping,,China
OSU,The Ohio State University Airport - Don Scott Field,Columbus,Ohio,United States
ADS,Addison Airport,Addison,Texas,United States
DSI,Destin Executive Airport,Destin,Florida,United States
KHE,Kherson International Airport,Kherson,,Ukraine
SZS,Ryan's Creek Aerodrome,Stewart Island,,New Zealand
HJJ,Zhijiang Airport,Zhijiang,,China
YQI,Yarmouth Airport,Yarmouth,N.S.,Canada
ISO,Kinston Regional Jetport At Stallings Field,Kinston,North Carolina,United States
FFA,First Flight Airport,Kill Devil Hills,Nc,United States
LNJ,Lintsang Airfield,Lincang,,China
CKS,Carajás Airport,Parauapebas,,Brazil
MWK,Tarempa Airport,Anambas Islands,,Indonesia
PGU,Persian Gulf International Airport,Khalije Fars,,Iran
YES,Yasouj Airport,Yasuj,,Iran
OSM,Mosul International Airport,Mosul,,Iraq
TJH,Tajima Airport,Toyooka,,Japan
AXJ,Amakusa Airport,Amakusa,,Japan
KKX,Kikai Airport,Kikai,,Japan
AGJ,Aguni Airport,Aguni,,Japan
ULZ,Donoi Airport,Uliastai,,Mongolia
UGA,Bulgan Airport,Bulgan,,Mongolia
ULO,Ulaangom Airport,Ulaangom,,Mongolia
LBX,Lubang Airport,Lubang,,Philippines
TJU,Kulob Airport,Kulyab,,Tajikistan
CMJ,Chi Mei Airport,Cimei,,Taiwan
TAZ,Daşoguz Airport,Dasoguz,,Turkmenistan
BWB,Barrow Island Airport,Barrow Island,Wa,Australia
DRB,Derby Airport,Derby,,Australia
WGE,Walgett Airport,Walgett,N.S.W.,Australia
BRT,Bathurst Island Airport,Bathurst Island,N.T.,Australia
DKI,Dunk Island Airport,Dunk Island,Qld.,Australia
LZR,Lizard Island Airport,Lizard Island,,Australia
HLT,Hamilton Airport,Hamilton,Vic.,Australia
HCQ,Halls Creek Airport,Halls Creek,,Australia
FIZ,Fitzroy Crossing Airport,Fitzroy Crossing,,Australia
RVT,Ravensthorpe Airport,Ravensthorpe,,Australia
PVU,Provo Municipal Airport,Provo,Utah,United States
SBS,Steamboat Springs Bob Adams Field,Steamboat Springs,Colorado,United States
DTA,Delta Municipal Airport,Delta,Utah,United States
PUC,Carbon County Regional/Buck Davis Field,Price,Utah,United States
LAM,Los Alamos Airport,Los Alamos,New Mexico,United States
HII,Lake Havasu City Airport,Lake Havasu City,Arizona,United States
INW,Winslow Lindbergh Regional Airport,Winslow,Arizona,United States
DGL,Douglas Municipal Airport,Douglas,Arizona,United States
MZK,Marakei Airport,Marakei,Gilbert Is.,Kiribati
AEA,Abemama Atoll Airport,Abemama,Gilbert Is.,Kiribati
AAK,Buariki Airport,Buariki,,Kiribati
KUC,Kuria Airport,Kuria,,Kiribati
AIS,Arorae Island Airport,Arorae,,Kiribati
TMN,Tamana Island Airport,Tamana,,Kiribati
BEZ,Beru Airport,Beru Island,Gilbert Is.,Kiribati
NIG,Nikunau Airport,Nikunau,Gilbert Island,Kiribati
BBG,Butaritari Atoll Airport,Butaritari,Gilbert Is.,Kiribati
MTK,Makin Island Airport,Makin,,Kiribati
MNK,Maiana Airport,Maiana,Gilbert Is.,Kiribati
NON,Nonouti Airport,Nonouti,Gilbert Island,Kiribati
TSU,Tabiteuea South Airport,Tabiteuea,,Kiribati
WTZ,Whitianga Airport,Whitianga,,New Zealand
KTF,Takaka Airport,Takaka,,New Zealand
AFT,Afutara Aerodrome,Afutara,,Solomon Islands
RNA,Ulawa Airport,Ulawa,,Solomon Islands
CHY,Choiseul Bay Airport,Choiseul Bay,,Solomon Islands
NNB,Santa Ana Airport,Santa Ana,,Solomon Islands
XYA,Yandina Airport,Yandina,,Solomon Islands
BPF,Batuna Aerodrome,Batuna,,Solomon Islands
BOW,Bartow Municipal Airport,Bartow,Florida,United States
FTI,Fitiuta Airport,Fiti\'uta,,American Samoa
LVK,Livermore Municipal Airport,Livermore,California,United States
RMY,Mariposa Yosemite Airport,Mariposa,,United States
GFY,Grootfontein Airport,Grootfontein,,Namibia
NDU,Rundu Airport,Rundu,,Namibia
TRM,Jacqueline Cochran Regional Airport,Palm Springs,California,United States
SMO,Santa Monica Municipal Airport,Santa Monica,California,United States
UDD,Bermuda Dunes Airport,Palm Springs,California,United States
SCF,Scottsdale Airport,Scottsdale,Arizona,United States
OLM,Olympia Regional Airport,Olympia,Washington,United States
RIL,Garfield County Regional Airport,Rifle,Colorado,United States
SAA,Shively Field,SARATOGA,Wyoming,United States
PDK,DeKalb Peachtree Airport,Atlanta,Georgia,United States
BMG,Monroe County Airport,Bloomington,Indiana,United States
SUA,Witham Field,Stuart,Florida,United States
MMU,Morristown Municipal Airport,Morristown,New Jersey,United States
APC,Napa County Airport,Napa,California,United States
SDM,Brown Field Municipal Airport,San Diego,California,United States
VNC,Venice Municipal Airport,Venice,Florida,United States
PHK,Palm Beach County Glades Airport,Pahokee,Florida,United States
ECP,Northwest Florida Beaches International Airport,Panama City,,United States
SBD,San Bernardino International Airport,San Bernardino,California,United States
VAL,Valença Airport,Valenca,,Brazil
CAU,Caruaru Airport,Caruaru,,Brazil
AWK,Wake Island Airfield,Wake island,,Wake Island
QNV,Aeroclube Airport,Nova Iguacu,,Brazil
SQL,San Carlos Airport,San Carlos,California,United States
RWI,Rocky Mount Wilson Regional Airport,Rocky Mount,North Carolina,United States
SXQ,Soldotna Airport,Soldotna,Alaska,United States
SEE,Gillespie Field,El Cajon,California,United States
PHA,Phan Rang Airport,Phan Rang,,Vietnam
SQH,Na-San Airport,Son-La,,Vietnam
TKF,Truckee Tahoe Airport,Truckee,California,United States
FRJ,Fréjus Airport,Frejus,,France
GEX,Geelong Airport,Geelong,Vic.,Australia
LVM,Mission Field,Livingston-Montana,Montana,United States
GMV,Monument Valley Airport,Monument Valley,Utah,United States
JRA,West 30th St. Heliport,New York,New York,United States
LAL,Lakeland Linder International Airport,Lakeland,Florida,United States
SYH,Syangboche Airport,Syangboche,,Nepal
RBK,French Valley Airport,Murrieta-Temecula,California,United States
FNU,Oristano-Fenosu Airport,Oristano,,Italy
MYQ,Mysore Airport,Mysore,,India
MGY,Dayton-Wright Brothers Airport,Dayton,Ohio,United States
FDY,Findlay Airport,Findley,Ohio,United States
PEA,Penneshaw Airport,Penneshaw,,Australia
EMP,Emporia Municipal Airport,Kempten,Kansas,Germany
HYC,Wycombe Air Park,Wycombe,,United Kingdom
BBP,Bembridge Airport,Bembridge,,United Kingdom
SPF,Black Hills Airport-Clyde Ice Field,Spearfish-South Dakota,South Dakota,United States
QYD,Oksywie Military Air Base,Gdynia,,Poland
OLV,Olive Branch Airport,Olive Branch,Mississippi,United States
KNA,Viña del mar Airport,Vina del Mar,,Chile
ONQ,Zonguldak Airport,Zonguldak,,Turkey
BJC,Rocky Mountain Metropolitan Airport,Broomfield-CO,Colorado,United States
SLE,Salem Municipal Airport/McNary Field,Salem,Oregon,United States
UTM,Tunica Municipal Airport,Tunica,,United States
ZKB,Kasaba Bay Airport,Kasaba Bay,,Zambia
LND,Hunt Field,Lindau,Wyoming,Germany
MWC,Lawrence J Timmerman Airport,Milwaukee,Wisconsin-Timmerman,United States
JVL,Southern Wisconsin Regional Airport,Janesville,Wisconsin,United States
LZU,Gwinnett County Briscoe Field,Lawrenceville,,United States
BWG,Bowling Green Warren County Regional Airport,Bowling Green,Kentucky,United States
RVS,Richard Lloyd Jones Jr Airport,Tulsa,Oklahoma,United States
NHD,Al Minhad Air Base,Minhad AB,,United Arab Emirates
KGO,Kirovograd Airport,Kirovograd,,Ukraine
DBB,El Alamein International Airport,Dabaa City,,Egypt
BCE,Bryce Canyon Airport,Bryce Canyon,Utah,United States
CKL,Chkalovskiy Air Base,Shchyolkovo,,Russia
TCZ,Tengchong Tuofeng Airport,Tengchong,,China
UKS,Belbek Airport,Sevastopol,,Ukraine
OAZ,Camp Bastion Airport,Camp Bastion,,Afghanistan
JCI,New Century Aircenter Airport,Olathe,Missouri,United States
ESN,Easton Newnam Field,Easton,Maryland,United States
HMR,Stafsberg Airport,Hamar,,Norway
MYV,Yuba County Airport,Yuba City,California,United States
DUC,Halliburton Field,Duncan,Oklahoma,United States
UVA,Garner Field,Uvalde,Texas,United States
LOT,Lewis University Airport,Lockport,Illinois,United States
CCR,Buchanan Field,Concord,California,United States
OCA,Ocean Reef Club Airport,Ocean Reef Club Airport,Florida,United States
YUS,Yushu Batang Airport,Yushu,,China
HIA,Lianshui Airport,Huai An,,China
YOO,Toronto/Oshawa Executive Airport,Oshawa,Ontario,Canada
LHA,Lahr Airport,Lahr,,Germany
NYW,Monywar Airport,Monywa,,Burma
ATO,Ohio University Snyder Field,Athens,Ohio,United States
SGH,Springfield-Beckley Municipal Airport,Springfield,Ohio,United States
HEX,Herrera Airport,Santo Domingo,,Dominican Republic
CDA,Cooinda Airport,Cooinda,N.T.,Australia
JAB,Jabiru Airport,Jabiru,N.T.,Australia
HGS,Hastings Airport,Freetown,,Sierra Leone
TOP,Philip Billard Municipal Airport,Topeka,Kansas,United States
MQY,Smyrna Airport,Smyrna,Tennessee,United States
UOS,Franklin County Airport,Sewanee,Tennessee,United States
NGQ,Ngari Gunsa Airport,Shiquanhe,,China
CSO,Cochstedt Airport,Cochstedt,,Germany
PWK,Chicago Executive Airport,Chicago-Wheeling,Illinois,United States
KLS,Southwest Washington Regional Airport,Kelso,Washington,United States
ZTA,Tureia Airport,Tureia,,French Polynesia
PUE,Puerto Obaldia Airport,Puerto Obaldia,,Panama
KHC,Kerch Airport,Kerch,,Ukraine
UKA,Ukunda Airstrip,Ukunda,,Kenya
ILN,Wilmington Airpark,Wilmington,Ohio,United States
AVW,Marana Regional Airport,Tucson,Arizona,United States
CGZ,Casa Grande Municipal Airport,Casa Grande,Arizona,United States
BXK,Buckeye Municipal Airport,Buckeye,Arizona,United States
MMI,McMinn County Airport,Athens,Tennessee,United States
STK,Sterling Municipal Airport,Sterling,Colorado,United States
RWL,Rawlins Municipal Airport/Harvey Field,Rawlins,Wyoming,United States
CDW,Essex County Airport,Caldwell,New Jersey,United States
AIZ,Lee C Fine Memorial Airport,Kaiser Lake Ozark,Missouri,United States
TVI,Thomasville Regional Airport,Thomasville,Georgia,United States
HSH,Henderson Executive Airport,Henderson,Nevada,United States
GML,Gostomel Airport,Kiev,,Ukraine
TMA,Henry Tift Myers Airport,Tifton,Georgia,United States
RDO,Radom Airport,RADOM,,Poland
DVT,Phoenix Deer Valley Airport,Phoenix ,Arizona,United States
YRV,Revelstoke Airport,Revelstoke,Bc,Canada
FRG,Republic Airport,Farmingdale,New York,United States
ZHY,Zhongwei Shapotou Airport,Zhongwei,,China
MCL,McKinley National Park Airport,McKinley Park,Alaska,United States
PPC,Prospect Creek Airport,Prospect Creek,Alaska,United States
KHW,Khwai River Lodge Airport,Khwai River,,Botswana
TXG,Taichung Airport,Taichung,,Taiwan
HLG,Wheeling Ohio County Airport,Wheeling,West Virginia,United States
XYE,Ye Airport,Ye,,Burma
DWC,Al Maktoum International Airport,Dubai,,United Arab Emirates
RKP,Aransas County Airport,Rockport,Texas,United States
MVV,Megève Airport,Verdun,,France
MFX,Méribel Altiport,Ajaccio,,France
AEB,Baise Youjiang Airport,Baise,,China
OKF,Okaukuejo Airport,Okaukuejo,,Namibia
OKU,Mokuti Lodge Airport,Mokuti Lodge,,Namibia
KOQ,Köthen Airport,Koethen,,Germany
PSH,St. Peter-Ording Airport,Sankt Peter-Ording,,Germany
TTD,Portland Troutdale Airport,Troutdale,Oregon,United States
HIO,Portland Hillsboro Airport,Hillsboro,Oregon,United States
KHT,Khost Airport,Khost,,Afghanistan
NMT,Namtu Airport,Naypyidaw,,Burma
BNO,Burns Municipal Airport,Burns,Oregon,United States
PRZ,Prineville Airport,Prineville,Oregon,United States
RBL,Red Bluff Municipal Airport,Red Bluff,California,United States
NOT,Marin County Airport - Gnoss Field,Novato,California,United States
LKV,Lake County Airport,Lakeview,Oregon,United States
OTK,Tillamook Airport,Tillamook,,United States
ONO,Ontario Municipal Airport,Ontario,Oregon,United States
DLS,Columbia Gorge Regional the Dalles Municipal Airport,The Dalles,Oregon,United States
GAI,Montgomery County Airpark,Gaithersburg,Maryland,United States
OAS,Sharana Airstrip,Sharona,,Afghanistan
YTA,Pembroke Airport,Pembroke,Ont.,Canada
TSB,Tsumeb Airport,Tsumeb,,Namibia
YSD,Suffield Heliport,Suffield,Alberta,Canada
BNU,Blumenau Airport,BLUMENAU,,Brazil
YCC,Cornwall Regional Airport,Cornwall,Ont.,Canada
IZA,Zona da Mata Regional Airport,Juiz de Fora,,Brazil
MVL,Morrisville Stowe State Airport,Morrisville,Vermont,United States
RBD,Dallas Executive Airport,Dallas,,United States
BXY,Krainiy Airport,Baikonur,,Kazakhstan
WST,Westerly State Airport,Washington County,Rhode Island,United States
BID,Block Island State Airport,Block Island,Rhode Island,United States
NME,Nightmute Airport,Nightmute,Alaska,United States
OOK,Toksook Bay Airport,Toksook Bay,Alaska,United States
OBY,Ittoqqortoormiit Heliport,Ittoqqortoormiit,,Greenland
VIN,Vinnytsia/Gavyryshivka Airport,Vinnitsa,,Ukraine
BGE,Decatur County Industrial Air Park,Bainbridge,Georgia,United States
ZGS,La Romaine Airport,La Romaine,Que.,Canada
ZKG,Kegaska Airport,Kegaska,Que.,Canada
YBI,Black Tickle Airport,Black Tickle,Nfld,Canada
WHP,Whiteman Airport,Los Angeles,,United States
MAE,Madera Municipal Airport,Madera,California,United States
YZZ,Trail Airport,Trail,,Canada
YAB,Old Arctic Bay Airport,Arctic Bay,N.W.T.,Canada
GSI,Grand-Santi Airport,Grand-Santi,,French Guiana
MPY,Maripasoula Airport,Maripasoula,,French Guiana
LDX,Saint-Laurent-du-Maroni Airport,Saint-Laurent-du-Maroni,,French Guiana
KJI,Kanas Airport,Burqin,,China
CPB,Capurganá Airport,Capurgana,,Colombia
HMB,Sohag International Airport,Sohag,,Egypt
RVY,Presidente General Don Oscar D. Gestido International Airport,Rivera,,Uruguay
POJ,Patos de Minas Airport,Patos de Minas,,Brazil
JTC,Bauru - Arealva Airport,Bauru,Texas,Brazil
OIA,Ourilândia do Norte Airport,Ourilandia do Norte,,Brazil
RDC,Redenção Airport,Redencao,,Brazil
SXX,São Félix do Xingu Airport,Sao Felix do Xingu,,Brazil
BYO,Bonito Airport,Bointo,,Brazil
SXO,São Félix do Araguaia Airport,Sao Felix do Araguaia,,Brazil
CFC,Caçador Airport,Cacador,,Brazil
CAF,Carauari Airport,Carauari,Amazonas,Brazil
ERN,Eirunepé Airport,Eirunepe,Amazonas,Brazil
CCI,Concórdia Airport,Concordia,Sta. Catarina,Brazil
FBE,Francisco Beltrão Airport,Francisco Beltrao,Pr,Brazil
CFO,Confresa Airport,Confresa,Mt,Brazil
AAF,Apalachicola Regional Airport,Apalachicola,Florida,United States
UMU,Umuarama Airport,Umuarama,,Brazil
DTI,Diamantina Airport,Diamantina,,Brazil
FBA,Fonte Boa Airport,Fonte Boa,,Brazil
OLC,Senadora Eunice Micheles Airport,Sao Paulo de Olivenca,,Brazil
HUW,Humaitá Airport,Humaita,,Brazil
IRZ,Tapuruquara Airport,Santa Isabel do Rio Negro,,Brazil
ORX,Oriximiná Airport,Oriximina,,Brazil
UNA,Hotel Transamérica Airport,Una,,Brazil
TEF,Telfer Airport,Telfer,,Australia
GZP,Gazipaşa Airport,Alanya,,Turkey
OAA,Shank Air Base,Shank,,Afghanistan
FPR,St Lucie County International Airport,Fort Pierce,Florida,United States
PYM,Plymouth Municipal Airport,Plymouth,Massachusetts,United States
NCO,Quonset State Airport,North Kingstown,Rhode Island,United States
OWD,Norwood Memorial Airport,Norwood,Massachusetts,United States
BAF,Westfield-Barnes Regional Airport,Westfield,Massachusetts,United States
MGJ,Orange County Airport,Montgomery,New York,United States
HAR,Capital City Airport,Harrisburg,Pennsylvania,United States
DXR,Danbury Municipal Airport,Danbury,Connecticut,United States
ASH,Boire Field,Nashua,New Hampshire,United States
LWM,Lawrence Municipal Airport,Lawrence,Massachusetts,United States
OXC,Waterbury Oxford Airport,Oxford,Connecticut,United States
RMG,Richard B Russell Airport,Rome,Georgia,United States
GAD,Northeast Alabama Regional Airport,Gadsden,Alabama,United States
WDR,Barrow County Airport,Winder,Georgia,United States
DNN,Dalton Municipal Airport,Dalton,Georgia,United States
LGC,LaGrange Callaway Airport,LaGrange,Georgia,United States
PIM,Harris County Airport,Pine Mountain,Georgia,United States
GVL,Lee Gilmer Memorial Airport,Gainesville,Georgia,United States
PHD,Harry Clever Field,New Philadelpha,Ohio,United States
HHH,Hilton Head Airport,Hilton Head Island,Sc,United States
DNL,Daniel Field,Augusta,Georgia,United States
MRN,Foothills Regional Airport,Morganton,North Carolina,United States
PVL,Pike County-Hatcher Field,Pikeville,,United States
TOC,Toccoa Airport - R.G. Letourneau Field,Toccoa,Georgia,United States
PLV,Suprunovka Airport,Poltava,,Ukraine
WUU,Wau Airport,Wau,,Sudan
HUE,Humera Airport,Humera,,Ethiopia
OYL,Moyale Airport,Moyale,,Kenya
OZG,Zagora Airport,Zagora,,Morocco
WYE,Yengema Airport,Yengema,,Sierra Leone
GBK,Gbangbatok Airport,Gbangbatok,,Sierra Leone
THX,Turukhansk Airport,Turukhansk,,Russia
TGP,Podkamennaya Tunguska Airport,Bor,,Russia
AFW,Fort Worth Alliance Airport,Fort Worth,Texas,United States
RMK,Renmark Airport,Renmark,,Australia
LGH,Leigh Creek Airport,Leigh Creek,,Australia
RTS,Rottnest Island Airport,Rottnest Island,,Australia
FOS,Forrest Airport,Forrest,,Australia
KEW,Keewaywin Airport,Keewaywin,Wa,Canada
YSP,Marathon Airport,Marathon,Ontario,Canada
YHF,Hearst René Fontaine Municipal Airport,Hearst,Ontario,Canada
YHN,Hornepayne Municipal Airport,Hornepayne,Ontario,Canada
YKX,Kirkland Lake Airport,Kirkland Lake,Ont.,Canada
YMG,Manitouwadge Airport,Manitouwadge,Ontario,Canada
YXZ,Wawa Airport,Wawa,Ontario,Canada
YEM,Manitoulin East Municipal Airport,Manitowaning,Ontario,Canada
LWC,Lawrence Municipal Airport,Lawrence,Kansas,United States
PPM,Pompano Beach Airpark,Pompano Beach,Florida,United States
XMC,Mallacoota Airport,Mallacoota,Vic.,Australia
ULH,Majeed Bin Abdulaziz Airport,Al-Ula,,Saudi Arabia
YUE,Yuendumu Airport,Yuendumu ,N.T.,Australia
LOP,Lombok International Airport,Praya,,Indonesia
ZMH,South Cariboo Region / 108 Mile Airport,108 Mile Ranch,B.C.,Canada
HDG,Handan Airport,Handan,,China
LOZ,London-Corbin Airport/Magee Field,London,Kentucky,United States
FBG,Simmons Army Air Field,Fredericksburg,,United States
WMI,Modlin Airport,Warsaw,,Poland
JXA,Jixi Xingkaihu Airport,Jixi,,China
JDG,Jeongseok Airport,Seogwipo,,South Korea
YGM,Gimli Industrial Park Airport,Gimli,Manitoba,Canada
EYK,Beloyarskiy Airport,Beloyarsky,,Russia
RAC,John H Batten Airport,Racine,Wisconsin,United States
RZP,Cesar Lim Rodriguez Airport,Taytay,,Philippines
RKZ,Shigatse Air Base,Shigatse,,China
TIW,Tacoma Narrows Airport,Tacoma,Washington,United States
GUF,Jack Edwards Airport,Gulf Shores,Alabama,United States
IBB,General Villamil Airport,Isabela,,Ecuador
HMJ,Khmelnytskyi Airport,Khmeinitskiy,,Ukraine
HIW,Hiroshimanishi Airport,Hiroshima,,Japan
KYI,Yalata Mission Airport,Yalata,,Australia
HZL,Hazleton Municipal Airport,Hazleton,Pennsylvania,United States
CBE,Greater Cumberland Regional Airport,Cumberland,Maryland,United States
WYN,Wyndham Airport,Wyndham,,Australia
YBO,Bob Quinn Lake Airport,Bob Quinn Lake,Bc,Canada
KLF,Grabtsevo Airport,Kaluga,,Russia
LNR,Tri-County Regional Airport,Lone Rock,Wisconsin,United States
JOT,Joliet Regional Airport,Joliet,Illinois,United States
VYS,Illinois Valley Regional Airport-Walter A Duncan Field,Peru,Illinois,United States
JXN,Jackson County Reynolds Field,Jackson,Michigan,United States
BBX,Wings Field,Philadelphia,Pennsylvania,United States
OBE,Okeechobee County Airport,Okeechobee,Florida,United States
SEF,Sebring Regional Airport,Sebring,Florida,United States
AVO,Avon Park Executive Airport,Avon Park,Florida,United States
GIF,Winter Haven Regional Airport - Gilbert Field,Winter Haven,Florida,United States
ZPH,Zephyrhills Municipal Airport,Zephyrhills,Florida,United States
OCF,Ocala International Airport - Jim Taylor Field,Ocala,Florida,United States
AIK,Aiken Regional Airport,Aiken,South Carolina,United States
CDN,Woodward Field,Camden,South Carolina,United States
LBT,Lumberton Regional Airport,Lumberton,North Carolina,United States
SOP,Moore County Airport,Pinehurst-Southern Pines,Nc,United States
SVH,Statesville Regional Airport,Statesville,North Carolina,United States
LHV,William T. Piper Memorial Airport,Lock Haven,Pennsylvania,United States
BKL,Burke Lakefront Airport,Cleveland,Ohio,United States
DKK,Chautauqua County-Dunkirk Airport,Dunkirk,New York,United States
LLY,South Jersey Regional Airport,Mount Holly,New Jersey,United States
LDJ,Linden Airport,Linden,New Jersey,United States
ANQ,Tri State Steuben County Airport,Angola,Indiana,United States
CLW,Clearwater Air Park,Clearwater,,United States
CGX,Chicago Meigs Airport,Chicago,Illinois,United States
CRE,Grand Strand Airport,North Myrtle Beach,South Carolina,United States
BXO,Buochs Airport,Buochs,,Switzerland
WBW,Wilkes Barre Wyoming Valley Airport,Wilkes-Barre,,United States
LNN,Willoughby Lost Nation Municipal Airport,Willoughby,Ohio,United States
UMD,Uummannaq Heliport,Uummannaq,,Greenland
RLK,Bayannur Tianjitai Airport,Bayannur,,China
FFT,Capital City Airport,Frankfort,Kentucky,United States
LEW,Auburn Lewiston Municipal Airport,Lewiston,Maine,United States
MRK,Marco Island Executive Airport,Marco Island Airport,Florida,United States
DRE,Drummond Island Airport,Drummond Island,Michigan,United States
GDW,Gladwin Zettel Memorial Airport,Gladwin,Michigan,United States
MFI,Marshfield Municipal Airport,Marshfield,Wisconsin,United States
ISW,Alexander Field South Wood County Airport,Wisconsin Rapids,Wisconsin,United States
CWI,Clinton Municipal Airport,Clinton,Iowa,United States
BVY,Beverly Municipal Airport,Beverly,Massachusetts,United States
